model,method,pair_id,comparisons,consistent,consistency_rate
openai/gpt-oss-120b,explicit_indifference,P14,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P15,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P18,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P23,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P39,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P41,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P43,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P07,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P09,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P30,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P37,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P44,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P01,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P10,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P11,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P12,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P26,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P27,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P28,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P29,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P02,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P03,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P04,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P05,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P06,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P08,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P13,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P16,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P17,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P19,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P20,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P21,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P22,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P24,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P25,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P31,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P32,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P33,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P34,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P35,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P36,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P38,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P40,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P42,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P45,3,3,100.0
openai/gpt-oss-120b,forced_choice,P04,3,0,0.0
openai/gpt-oss-120b,forced_choice,P07,3,0,0.0
openai/gpt-oss-120b,forced_choice,P13,3,0,0.0
openai/gpt-oss-120b,forced_choice,P14,3,0,0.0
openai/gpt-oss-120b,forced_choice,P16,3,0,0.0
openai/gpt-oss-120b,forced_choice,P17,3,0,0.0
openai/gpt-oss-120b,forced_choice,P20,3,0,0.0
openai/gpt-oss-120b,forced_choice,P21,3,0,0.0
openai/gpt-oss-120b,forced_choice,P29,3,0,0.0
