model,method,pair_id,comparisons,consistent,consistency_rate
openai/gpt-oss-120b,explicit_indifference,P14,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P15,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P18,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P23,3,0,0.0
openai/gpt-oss-120b,explicit_indifference,P07,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P09,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P30,3,1,33.33
openai/gpt-oss-120b,explicit_indifference,P01,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P10,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P11,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P12,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P26,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P27,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P28,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P29,3,2,66.67
openai/gpt-oss-120b,explicit_indifference,P02,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P03,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P04,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P05,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P06,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P08,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P13,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P16,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P17,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P19,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P20,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P21,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P22,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P24,3,3,100.0
openai/gpt-oss-120b,explicit_indifference,P25,3,3,100.0
openai/gpt-oss-120b,forced_choice,P04,3,0,0.0
openai/gpt-oss-120b,forced_choice,P07,3,0,0.0
openai/gpt-oss-120b,forced_choice,P13,3,0,0.0
openai/gpt-oss-120b,forced_choice,P14,3,0,0.0
openai/gpt-oss-120b,forced_choice,P16,3,0,0.0
openai/gpt-oss-120b,forced_choice,P17,3,0,0.0
openai/gpt-oss-120b,forced_choice,P20,3,0,0.0
openai/gpt-oss-120b,forced_choice,P21,3,0,0.0
openai/gpt-oss-120b,forced_choice,P29,3,0,0.0
openai/gpt-oss-120b,forced_choice,P01,3,1,33.33
openai/gpt-oss-120b,forced_choice,P02,3,1,33.33
openai/gpt-oss-120b,forced_choice,P09,3,1,33.33
openai/gpt-oss-120b,forced_choice,P10,3,1,33.33
openai/gpt-oss-120b,forced_choice,P23,3,1,33.33
openai/gpt-oss-120b,forced_choice,P28,3,1,33.33
openai/gpt-oss-120b,forced_choice,P08,3,2,66.67
openai/gpt-oss-120b,forced_choice,P03,3,3,100.0
openai/gpt-oss-120b,forced_choice,P05,3,3,100.0
openai/gpt-oss-120b,forced_choice,P06,3,3,100.0
openai/gpt-oss-120b,forced_choice,P11,3,3,100.0
openai/gpt-oss-120b,forced_choice,P12,3,3,100.0
openai/gpt-oss-120b,forced_choice,P15,3,3,100.0
openai/gpt-oss-120b,forced_choice,P18,3,3,100.0
openai/gpt-oss-120b,forced_choice,P19,3,3,100.0
openai/gpt-oss-120b,forced_choice,P22,3,3,100.0
