run_id,model,method,records
4a863491134c,qwen/qwen3.8-27b,explicit_indifference,1
4a863491134c,qwen/qwen3.8-27b,preference_strength,1
6d4309cd9b7f,qwen/qwen3.8-27b,explicit_indifference,1
6d4309cd9b7f,qwen/qwen3.8-27b,forced_choice,2
6d4309cd9b7f,qwen/qwen3.8-27b,preference_strength,2
984a1ba160c5,openai/gpt-oss-120b,explicit_indifference,90
984a1ba160c5,openai/gpt-oss-120b,forced_choice,90
984a1ba160c5,openai/gpt-oss-120b,preference_strength,90
984a1ba160c5,qwen/qwen3.8-27b,explicit_indifference,89
984a1ba160c5,qwen/qwen3.8-27b,forced_choice,88
984a1ba160c5,qwen/qwen3.8-27b,preference_strength,88
a93f24c3a163,openai/gpt-oss-120b,explicit_indifference,90
a93f24c3a163,openai/gpt-oss-120b,forced_choice,90
a93f24c3a163,openai/gpt-oss-120b,preference_strength,90
dacd61fe04a6,qwen/qwen3.8-27b,explicit_indifference,89
dacd61fe04a6,qwen/qwen3.8-27b,forced_choice,90
dacd61fe04a6,qwen/qwen3.8-27b,preference_strength,89
