model,method,pair_id,responses,choice_A,choice_B,indifference,choice_A_pct,choice_B_pct,indifference_pct
openai/gpt-oss-120b,explicit_indifference,P01,6,5,0,1,83.33,0.0,16.67
openai/gpt-oss-120b,explicit_indifference,P02,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P03,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P04,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P05,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,explicit_indifference,P06,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P07,6,2,4,0,33.33,66.67,0.0
openai/gpt-oss-120b,explicit_indifference,P08,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P09,6,2,2,2,33.33,33.33,33.33
openai/gpt-oss-120b,explicit_indifference,P10,6,0,5,1,0.0,83.33,16.67
openai/gpt-oss-120b,explicit_indifference,P11,6,5,0,1,83.33,0.0,16.67
openai/gpt-oss-120b,explicit_indifference,P12,6,5,0,1,83.33,0.0,16.67
openai/gpt-oss-120b,explicit_indifference,P13,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P14,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,explicit_indifference,P15,6,0,3,3,0.0,50.0,50.0
openai/gpt-oss-120b,explicit_indifference,P16,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P17,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P18,6,3,0,3,50.0,0.0,50.0
openai/gpt-oss-120b,explicit_indifference,P19,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P20,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P21,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P22,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,explicit_indifference,P23,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,explicit_indifference,P24,6,0,0,6,0.0,0.0,100.0
openai/gpt-oss-120b,explicit_indifference,P25,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,explicit_indifference,P26,6,1,5,0,16.67,83.33,0.0
openai/gpt-oss-120b,explicit_indifference,P27,6,1,5,0,16.67,83.33,0.0
openai/gpt-oss-120b,explicit_indifference,P28,6,0,5,1,0.0,83.33,16.67
openai/gpt-oss-120b,explicit_indifference,P29,6,1,5,0,16.67,83.33,0.0
openai/gpt-oss-120b,explicit_indifference,P30,6,0,4,2,0.0,66.67,33.33
openai/gpt-oss-120b,forced_choice,P01,6,4,2,0,66.67,33.33,0.0
openai/gpt-oss-120b,forced_choice,P02,6,4,2,0,66.67,33.33,0.0
openai/gpt-oss-120b,forced_choice,P03,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P04,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P05,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P06,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P07,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P08,6,1,5,0,16.67,83.33,0.0
openai/gpt-oss-120b,forced_choice,P09,6,2,4,0,33.33,66.67,0.0
openai/gpt-oss-120b,forced_choice,P10,6,2,4,0,33.33,66.67,0.0
openai/gpt-oss-120b,forced_choice,P11,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P12,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P13,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P14,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P15,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P16,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P17,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P18,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P19,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P20,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P21,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P22,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P23,6,4,2,0,66.67,33.33,0.0
openai/gpt-oss-120b,forced_choice,P24,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,forced_choice,P25,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P26,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P27,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,forced_choice,P28,6,2,4,0,33.33,66.67,0.0
openai/gpt-oss-120b,forced_choice,P29,6,3,3,0,50.0,50.0,0.0
openai/gpt-oss-120b,forced_choice,P30,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,preference_strength,P01,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,preference_strength,P02,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,preference_strength,P03,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,preference_strength,P04,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,preference_strength,P05,6,6,0,0,100.0,0.0,0.0
openai/gpt-oss-120b,preference_strength,P06,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,preference_strength,P07,6,0,6,0,0.0,100.0,0.0
openai/gpt-oss-120b,preference_strength,P08,6,0,6,0,0.0,100.0,0.0
